[20-02-23 20:33:31.558][info] Start chat server initialization....
[20-02-23 20:33:31.562][info] General chat has id = 0.
[20-02-23 20:33:31.562][info] Say chat has id = 1.
[20-02-23 20:33:31.562][info] Shout chat has id = 2.
[20-02-23 20:33:31.563][info] Radio chat has id = 3.
[20-02-23 20:33:31.563][info] Admin chat has id = 4.
[20-02-23 20:33:31.563][info] Server chat has id = 5.
[20-02-23 20:33:31.563][info] Chat server successfully initialized.
[20-02-23 20:33:34.415][info] Creating safehouse chat '5678,5757 at 1676900014412'.
[20-02-23 21:03:47.057][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:04:34.297][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:04:34.297][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:05:19.632][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:05:19.632][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:05:21.896][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:05:21.896][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:05:22.074][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:05:22.074][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:29:27.537][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'}.
[20-02-23 21:29:27.538][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'} sent to chat (id = 2) members.
